iter	Passed	Remaining
0	5	5731
1	11	5490
2	15	5304
3	20	5025
4	24	4848
5	28	4726
6	33	4764
7	38	4740
8	43	4740
9	48	4837
10	54	4861
11	58	4782
12	63	4795
13	69	4863
14	74	4864
15	79	4871
16	84	4896
17	90	4919
18	95	4928
19	100	4916
20	105	4914
21	109	4873
22	114	4863
23	119	4852
24	122	4793
25	128	4805
26	133	4800
27	138	4796
28	143	4798
29	148	4812
30	153	4805
31	159	4814
32	165	4856
33	171	4863
34	176	4857
35	181	4855
36	186	4849
37	191	4845
38	196	4842
39	201	4847
40	207	4843
41	211	4832
42	216	4826
43	222	4827
44	227	4823
45	233	4838
46	238	4827
47	244	4841
48	249	4840
49	254	4840
50	261	4857
51	266	4860
52	272	4863
53	277	4864
54	283	4877
55	289	4879
56	295	4886
57	300	4887
58	305	4878
59	310	4869
60	315	4857
61	320	4847
62	326	4850
63	331	4841
64	336	4834
65	341	4828
66	346	4829
67	351	4817
68	356	4814
69	362	4813
70	367	4802
71	371	4792
72	378	4802
73	384	4806
74	389	4798
75	395	4808
76	400	4806
77	406	4800
78	411	4792
79	416	4784
80	420	4773
81	426	4772
82	431	4772
83	436	4763
84	442	4764
85	447	4760
86	453	4755
87	458	4749
88	463	4743
89	468	4734
90	473	4725
91	477	4717
92	483	4713
93	487	4701
94	493	4703
95	498	4696
96	503	4688
97	509	4686
98	514	4683
99	520	4681
100	526	4682
101	531	4678
102	536	4673
103	542	4675
104	548	4673
105	553	4664
106	558	4663
107	563	4656
108	568	4647
109	573	4643
110	578	4637
111	584	4631
112	589	4630
113	594	4622
114	599	4614
115	604	4607
116	609	4600
117	614	4594
118	619	4585
119	624	4582
120	630	4577
121	634	4567
122	639	4561
123	645	4557
124	649	4549
125	654	4543
126	660	4540
127	665	4534
128	670	4530
129	676	4526
130	681	4520
131	686	4513
132	691	4507
133	695	4498
134	700	4488
135	705	4483
136	710	4473
137	715	4466
138	719	4455
139	723	4442
140	727	4434
141	732	4424
142	737	4417
143	742	4412
144	747	4408
145	752	4403
146	757	4397
147	762	4390
148	767	4381
149	770	4364
150	775	4357
151	779	4349
152	784	4343
153	789	4337
154	794	4331
155	798	4322
156	804	4317
157	808	4308
158	813	4303
159	818	4297
160	823	4290
161	827	4281
162	832	4274
163	837	4267
164	842	4264
165	847	4256
166	852	4250
167	857	4244
168	861	4237
169	866	4229
170	871	4224
171	876	4217
172	881	4212
173	885	4204
174	890	4196
175	894	4189
176	899	4184
177	904	4176
178	909	4169
179	914	4166
180	919	4161
181	924	4153
182	929	4147
183	934	4142
184	939	4138
185	944	4131
186	949	4126
187	954	4121
188	958	4114
189	964	4111
190	969	4107
191	974	4100
192	978	4093
193	984	4089
194	988	4081
195	993	4074
196	998	4069
197	1004	4067
198	1009	4063
199	1015	4061
200	1021	4059
201	1026	4056
202	1032	4052
203	1038	4054
204	1044	4052
205	1051	4053
206	1057	4050
207	1062	4046
208	1069	4046
209	1076	4048
210	1082	4046
211	1087	4043
212	1093	4040
213	1099	4037
214	1105	4036
215	1110	4032
216	1117	4032
217	1123	4029
218	1129	4028
219	1136	4029
220	1141	4022
221	1145	4015
222	1150	4009
223	1155	4002
224	1159	3995
225	1165	3991
226	1170	3986
227	1175	3981
228	1181	3977
229	1186	3971
230	1191	3966
231	1196	3960
232	1201	3955
233	1206	3950
234	1211	3944
235	1217	3942
236	1222	3936
237	1227	3931
238	1233	3928
239	1238	3922
240	1243	3916
241	1249	3914
242	1255	3910
243	1260	3906
244	1266	3902
245	1271	3896
246	1276	3890
247	1281	3886
248	1286	3881
249	1291	3875
250	1296	3869
251	1301	3862
252	1306	3856
253	1311	3851
254	1316	3846
255	1321	3841
256	1326	3835
257	1332	3832
258	1337	3825
259	1342	3820
260	1347	3814
261	1352	3808
262	1357	3803
263	1361	3797
264	1367	3791
265	1372	3787
266	1377	3781
267	1382	3777
268	1387	3770
269	1392	3765
270	1398	3760
271	1402	3754
272	1407	3747
273	1412	3742
274	1417	3736
275	1421	3730
276	1426	3723
277	1431	3718
278	1436	3713
279	1441	3706
280	1446	3701
281	1451	3696
282	1456	3691
283	1462	3686
284	1466	3679
285	1471	3673
286	1476	3667
287	1482	3664
288	1486	3657
289	1491	3650
290	1496	3646
291	1501	3640
292	1506	3635
293	1512	3631
294	1517	3626
295	1522	3621
296	1528	3616
297	1532	3610
298	1537	3605
299	1542	3599
300	1548	3595
301	1553	3589
302	1557	3583
303	1563	3579
304	1568	3574
305	1573	3568
306	1579	3565
307	1584	3559
308	1588	3553
309	1593	3547
310	1598	3541
311	1603	3535
312	1608	3531
313	1614	3527
314	1619	3522
315	1624	3515
316	1629	3510
317	1633	3504
318	1639	3499
319	1644	3495
320	1649	3489
321	1654	3483
322	1659	3478
323	1664	3471
324	1668	3465
